48 1:2 2:4 3:4 4:4 5:4 6:4 7:4 8:4 9:4 10:2 11:2 12:8 13:8 14:8 15:8 16:2 
48 1:2 2:4 3:4 4:4 5:4 6:4 7:4 8:4 9:4 10:2 11:2 12:8 13:8 14:8 15:8 16:2 
49 1:5 2:3 3:5 4:5 5:5 6:5 7:5 8:5 9:5 10:1 11:8 12:8 13:0 14:9 15:9 16:10 
49 1:5 2:3 3:5 4:5 5:5 6:5 7:5 8:5 9:5 10:1 11:8 12:8 13:0 14:9 15:9 16:10 
49 1:5 2:3 3:5 4:5 5:5 6:5 7:5 8:5 9:5 10:1 11:8 12:8 13:0 14:9 15:9 16:10 
49 1:5 2:3 3:5 4:5 5:5 6:5 7:5 8:5 9:5 10:1 11:8 12:8 13:0 14:9 15:9 16:10 
50 1:2 2:4 3:5 4:5 5:5 6:5 7:5 8:5 9:5 10:0 11:7 12:7 13:7 14:7 15:7 16:6 
50 1:2 2:4 3:5 4:5 5:5 6:5 7:5 8:5 9:5 10:0 11:7 12:7 13:7 14:7 15:7 16:6 
51 1:2 2:4 3:5 4:5 5:3 6:5 7:5 8:5 9:4 10:2 11:8 12:8 13:7 14:7 15:7 16:3 
51 1:2 2:4 3:5 4:5 5:3 6:5 7:5 8:5 9:4 10:2 11:8 12:8 13:7 14:7 15:7 16:3 
52 1:5 2:4 3:4 4:4 5:4 6:4 7:0 8:5 9:5 10:3 11:8 12:8 13:7 14:7 15:0 16:8 
52 1:5 2:4 3:4 4:4 5:4 6:4 7:0 8:5 9:5 10:3 11:8 12:8 13:7 14:7 15:0 16:8 
52 1:5 2:4 3:4 4:4 5:4 6:4 7:0 8:5 9:5 10:3 11:8 12:8 13:7 14:7 15:0 16:8 
52 1:5 2:4 3:4 4:4 5:4 6:4 7:0 8:5 9:5 10:3 11:8 12:8 13:7 14:7 15:0 16:8 
53 1:0 2:5 3:5 4:5 5:1 6:5 7:5 8:5 9:4 10:2 11:4 12:7 13:7 14:7 15:7 16:5 
53 1:0 2:5 3:5 4:5 5:1 6:5 7:5 8:5 9:4 10:2 11:4 12:7 13:7 14:7 15:7 16:5 
53 1:0 2:5 3:5 4:5 5:1 6:5 7:5 8:5 9:4 10:2 11:4 12:7 13:7 14:7 15:7 16:5 
53 1:0 2:5 3:5 4:5 5:1 6:5 7:5 8:5 9:4 10:2 11:4 12:7 13:7 14:7 15:7 16:5 
53 1:0 2:5 3:5 4:5 5:1 6:5 7:5 8:5 9:4 10:2 11:4 12:7 13:7 14:7 15:7 16:5 
53 1:0 2:5 3:5 4:5 5:1 6:5 7:5 8:5 9:4 10:2 11:4 12:7 13:7 14:7 15:7 16:5 
53 1:0 2:5 3:5 4:5 5:1 6:5 7:5 8:5 9:4 10:2 11:4 12:7 13:7 14:7 15:7 16:5 
53 1:0 2:5 3:5 4:5 5:1 6:5 7:5 8:5 9:4 10:2 11:4 12:7 13:7 14:7 15:7 16:5 
54 1:3 2:5 3:5 4:5 5:2 6:3 7:4 8:4 9:4 10:2 11:3 12:7 13:7 14:7 15:7 16:6 
54 1:3 2:5 3:5 4:5 5:2 6:3 7:4 8:4 9:4 10:2 11:3 12:7 13:7 14:7 15:7 16:6 
54 1:3 2:5 3:5 4:5 5:2 6:3 7:4 8:4 9:4 10:2 11:3 12:7 13:7 14:7 15:7 16:6 
54 1:3 2:5 3:5 4:5 5:2 6:3 7:4 8:4 9:4 10:2 11:3 12:7 13:7 14:7 15:7 16:6 
54 1:3 2:5 3:5 4:5 5:2 6:3 7:4 8:4 9:4 10:2 11:3 12:7 13:7 14:7 15:7 16:6 
54 1:3 2:5 3:5 4:5 5:2 6:3 7:4 8:4 9:4 10:2 11:3 12:7 13:7 14:7 15:7 16:6 
55 1:0 2:4 3:5 4:5 5:5 6:5 7:5 8:5 9:5 10:5 11:8 12:7 13:7 14:7 15:7 16:8 
56 1:2 2:4 3:4 4:4 5:2 6:4 7:4 8:4 9:4 10:2 11:3 12:7 13:7 14:7 15:7 16:3 
56 1:2 2:4 3:4 4:4 5:2 6:4 7:4 8:4 9:4 10:2 11:3 12:7 13:7 14:7 15:7 16:3 
57 1:2 2:4 3:4 4:4 5:3 6:2 7:5 8:5 9:5 10:3 11:6 12:7 13:7 14:7 15:7 16:3 
57 1:2 2:4 3:4 4:4 5:3 6:2 7:5 8:5 9:5 10:3 11:6 12:7 13:7 14:7 15:7 16:3 
57 1:2 2:4 3:4 4:4 5:3 6:2 7:5 8:5 9:5 10:3 11:6 12:7 13:7 14:7 15:7 16:3 
57 1:2 2:4 3:4 4:4 5:3 6:2 7:5 8:5 9:5 10:3 11:6 12:7 13:7 14:7 15:7 16:3 
57 1:2 2:4 3:4 4:4 5:3 6:2 7:5 8:5 9:5 10:3 11:6 12:7 13:7 14:7 15:7 16:3 
48 1:2 2:4 3:4 4:4 5:4 6:4 7:4 8:4 9:4 10:2 11:2 12:8 13:8 14:8 15:8 16:2 
48 1:2 2:4 3:4 4:4 5:4 6:4 7:4 8:4 9:4 10:2 11:2 12:8 13:8 14:8 15:8 16:2 
49 1:5 2:3 3:5 4:5 5:5 6:5 7:5 8:5 9:5 10:1 11:8 12:8 13:0 14:9 15:9 16:10 
49 1:5 2:3 3:5 4:5 5:5 6:5 7:5 8:5 9:5 10:1 11:8 12:8 13:0 14:9 15:9 16:10 
